PreyIndividuals_ID,stm_preyID,Length_mm,Length_Code,Weight_g,Comment
783,2698,38.5,SL,0.54,
784,2699,12.4,TL,0.12,12.4mm W
785,2700,15.6,TL,0.35,
786,2701,52,TL,0.11,
787,2702,45.7,TL,0.26,
788,2703,21,TL,1.11,
789,2703,21.8,TL,0.69,
790,2703,9.5,TL,0.16,
791,2704,29.6,SL,1.84,
792,2704,21.8,SL,1.32,
793,2704,39.5,SL,3.84,
794,2704,32.2,SL,2.58,
795,2704,42.6,SL,4.93,
796,2704,32.2,SL,1.77,
797,2704,33.1,SL,2.76,
800,2705,22.9,TL,0.23,
801,2705,21.8,TL,0.24,
802,2705,23.9,TL,0.28,
803,2706,29.1,SL,2.65,
804,2706,27,SL,2.61,
805,2706,36.4,SL,5.46,
806,2707,30,TL,0.21,
807,2707,36,TL,0.19,
808,2707,34,TL,0.13,
809,2708,18.7,TL,0.76,
810,2709,23.9,TL,0.9,
811,2711,39,ML,10.15,
812,2712,26,TL,1.01,
813,2713,35,TL,0.55,28mm W
814,2716,50,SL,7.24,
815,2717,32.2,SL,4.95,
816,2717,21,SL,2.14,
817,2717,23.9,SL,1.63,
818,2718,22,TL,0.89,
819,2718,25.1,TL,0.84,
820,2718,22,TL,0.73,
821,2718,22,TL,0.91,
822,2718,23.5,TL,0.85,
823,2718,20.7,TL,0.58,
824,2719,14.5,TL,0.37,
825,2720,7.2,TL,0.22,
826,2723,32.4,SL,2.26,
827,2725,61.6,AP,2.62,
828,2726,25,AP,14.64,AP ML
829,2726,15,ML,4.17,
830,2727,15.6,TL,0.23,
831,2728,24.9,TL,1.1,
832,2728,23.8,TL,1.1,
833,2728,19.7,TL,0.69,
834,2729,14,TL,0.28,
835,2729,18,TL,0.25,
836,2729,10,TL,0.19,
837,2730,20,ML,3.03,
838,2730,25,ML,7.23,
839,2730,20,ML,5.15,
840,2730,18,ML,2.47,
841,2730,15,ML,2.33,
842,2730,17,ML,3.17,
843,2730,18,ML,5.37,
844,2730,22,ML,7.17,
845,2730,35,ML,12.92,
846,2731,53,SL,12.31,
847,2732,33,SL,2.18,
848,2733,22,TL,0.63,
849,2733,20,TL,0.44,
850,2733,21,TL,0.37,
851,2733,22,TL,0.56,
852,2735,19,TL,0.34,
853,2736,17,TL,0.18,
854,2737,88.4,TL,12.87,54.1mm W
855,2739,18.7,TL,0.13,
856,2740,26.9,SL,1.49,
857,2741,25.9,SL,2.19,
858,2743,45.7,ML,20.45,
859,2744,60.3,SL,6.56,
860,2745,24.9,TL,0.81,
861,2746,10.4,ML,0.8,
862,2747,32,SL,2.4,
863,2749,44,SL,8.79,
864,2750,22,TL,0.64,
865,2750,20,TL,0.73,
866,2750,18,TL,0.36,
867,2750,21,TL,0.41,
868,2750,23,TL,0.61,
869,2750,23,TL,0.49,
870,2750,22,TL,0.48,
871,2750,21,TL,0.64,
872,2750,19,TL,0.79,
873,2751,18,TL,0.28,
874,2752,31,TL,0.51,
875,2752,23,TL,0.38,
876,2753,12,TL,0.89,
877,2754,49,TL,0.32,
878,2756,77,TL,2.04,17mm W
879,2755,42,TL,3.04,25mm W
880,2759,109,SL,6.01,
881,2759,211,SL,36.34,
882,2760,35,SL,3.49,
883,2760,21,SL,1.34,
884,2760,19,SL,0.39,
885,2761,49,SL,10.96,
886,2761,36,SL,3.33,
887,2761,23,SL,1.8,
888,2762,25,TL,0.82,
889,2762,23,TL,0.74,
890,2762,23,TL,0.71,
891,2763,115,SL,7.93,
892,2765,44,TL,0.65,
893,2767,54,TL,0.9,
894,2767,18,TL,0.6,19mm W
895,2768,135,ML,156.51,
896,2769,29,TL,0.67,
897,2770,31.2,SL,1.79,
898,2771,19.7,TL,0.23,
899,2772,10.4,SL,0.63,
900,2773,26,SL,2.26,
901,2774,20.7,TL,0.48,
902,2774,19.7,TL,0.64,
903,2774,21.8,TL,0.58,
904,2774,25,TL,0.79,
905,2775,30.1,SL,1.64,
906,2776,75.9,SL,7.79,
907,2777,35,AP,8.7,AP ML
908,2778,121.7,TL,0.59,5.2mm W
909,2779,23.9,TL,0.51,20.7mm W
910,2780,10.3,TL,0.19,
911,2780,10.4,TL,0.21,
912,2780,9.3,TL,0.18,
913,2781,14.5,TL,0.15,11.4mm W
914,2782,29.1,SL,2.01,
915,2783,16.6,SL,0.17,
916,2784,16,TL,0.32,
917,2784,21.8,TL,0.65,
918,2785,40,TL,0.59,
919,2788,30,TL,1.53,
920,2789,11,TL,0.1,size range
921,2790,26,TL,0.93,size range
922,2790,19.7,TL,0.44,size range
923,2790,24.9,TL,0.81,size range
925,2792,42.6,ML,6.78,
926,2793,68,TL,0.24,
927,2793,51,TL,0.22,
928,2794,31,TL,1.13,"Phronima = 27mm, 0.52g"
929,2794,30,TL,1.51,"Phronima = 29mm, 0.51g"
930,2795,18.7,TL,0.23,
931,2795,20.7,TL,0.24,
932,2795,19.7,TL,0.25,
933,2795,17.8,TL,0.21,
934,2796,25,TL,0.36,15mm W
935,2797,47.8,SL,0.82,
936,2798,37.4,SL,4.94,
937,2799,60,TL,0.26,
938,2800,52,SL,11.1,
939,2800,41,SL,7.27,
940,2800,41,SL,5.01,
941,2800,17,SL,1.2,
942,2802,52,TL,0.69,
943,2804,19,TL,0.4,
944,2805,106,SL,1.03,
945,2803,22,TL,0.27,
946,2803,24,TL,0.31,
947,2803,20,TL,0.25,
948,2803,21.8,TL,0.21,
949,2806,26,TL,1.03,
950,2806,21,TL,0.61,
951,2806,24,TL,0.89,
952,2806,22,TL,0.59,
953,2807,33,AP,5.32,AP ML
954,2807,37,AP,7.77,AP ML
955,2807,39,AP,8.99,AP ML
956,2807,36,AP,6.37,AP ML
957,2801,27,ML,6.36,
958,2808,70,TL,5.89,
959,2809,57.2,ML,127.57,
960,2811,48.9,TL,2.08,21.8mm W
961,2812,30.2,SL,2.21,
962,2812,38.5,SL,5.63,
963,2813,30.1,TL,0.77,
964,2813,34.3,TL,0.61,
965,2813,28.1,TL,0.71,
966,2813,22.8,TL,0.23,
967,2814,50.9,SL,9.83,
968,2816,21.8,TL,1.14,
969,2816,16.6,TL,1.42,
970,2816,12.5,TL,0.27,
971,2817,55.1,TL,0.7,
972,2818,27,TL,0.53,
973,2819,115,TL,0.47,
974,2821,39.5,SL,1.69,
975,2820,31,SL,1.46,
976,2820,29,SL,1.46,
977,2820,26,SL,1.05,
978,2820,30,SL,1.8,
979,2820,24,SL,0.6,
980,2820,30,SL,1.26,
981,2823,46,ML,7.12,
982,2824,26,ML,3.15,Mated female. Known from Central Pacific waters south of 6°N
